"","Var1","Var2","value","summed_score","percentage"
"1","Q33_scored_sub_Assoc.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",0,5,0
"2","Q33_scored_sub_Bacca.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",1,5,20
"3","Q33_scored_sub_Master.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",1,5,20
"4","Q33_scored_sub_Doc.1.24.","Q33_Facilities...Computers.are.too.old..inadequate",3,5,60
"5","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Funding..software.License.fees.",1,7,14.2857142857143
"6","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Funding..software.License.fees.",1,7,14.2857142857143
"7","Q33_scored_sub_Master.1.24.","Q33_Resources...Funding..software.License.fees.",3,7,42.8571428571429
"8","Q33_scored_sub_Doc.1.24.","Q33_Resources...Funding..software.License.fees.",2,7,28.5714285714286
"9","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...Career.prospects",3,7,42.8571428571429
"10","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...Career.prospects",0,7,0
"11","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...Career.prospects",0,7,0
"12","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...Career.prospects",4,7,57.1428571428571
"13","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...Not.enough.Faculty",0,8,0
"14","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...Not.enough.Faculty",1,8,12.5
"15","Q33_scored_sub_Master.1.24.","Q33_Faculty...Not.enough.Faculty",1,8,12.5
"16","Q33_scored_sub_Doc.1.24.","Q33_Faculty...Not.enough.Faculty",6,8,75
"17","Q33_scored_sub_Assoc.1.24.","Q33_Inst.Dept.Support...No.IT.support",2,9,22.2222222222222
"18","Q33_scored_sub_Bacca.1.24.","Q33_Inst.Dept.Support...No.IT.support",4,9,44.4444444444444
"19","Q33_scored_sub_Master.1.24.","Q33_Inst.Dept.Support...No.IT.support",3,9,33.3333333333333
"20","Q33_scored_sub_Doc.1.24.","Q33_Inst.Dept.Support...No.IT.support",0,9,0
"21","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Issues...To.much.curric.influence.from.Professional.schools",0,11,0
"22","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Issues...To.much.curric.influence.from.Professional.schools",3,11,27.2727272727273
"23","Q33_scored_sub_Master.1.24.","Q33_Curric.Issues...To.much.curric.influence.from.Professional.schools",4,11,36.3636363636364
"24","Q33_scored_sub_Doc.1.24.","Q33_Curric.Issues...To.much.curric.influence.from.Professional.schools",4,11,36.3636363636364
"25","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Issues...Making.Comp.Sci.courses.consistently.relevant",2,12,16.6666666666667
"26","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Issues...Making.Comp.Sci.courses.consistently.relevant",4,12,33.3333333333333
"27","Q33_scored_sub_Master.1.24.","Q33_Curric.Issues...Making.Comp.Sci.courses.consistently.relevant",0,12,0
"28","Q33_scored_sub_Doc.1.24.","Q33_Curric.Issues...Making.Comp.Sci.courses.consistently.relevant",6,12,50
"29","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...Content.Development",3,13,23.0769230769231
"30","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...Content.Development",3,13,23.0769230769231
"31","Q33_scored_sub_Master.1.24.","Q33_Faculty...Content.Development",2,13,15.3846153846154
"32","Q33_scored_sub_Doc.1.24.","Q33_Faculty...Content.Development",5,13,38.4615384615385
"33","Q33_scored_sub_Assoc.1.24.","Q33_Inst.Dept.Support...Inter.Departmental.Cooperation",1,14,7.14285714285714
"34","Q33_scored_sub_Bacca.1.24.","Q33_Inst.Dept.Support...Inter.Departmental.Cooperation",6,14,42.8571428571429
"35","Q33_scored_sub_Master.1.24.","Q33_Inst.Dept.Support...Inter.Departmental.Cooperation",6,14,42.8571428571429
"36","Q33_scored_sub_Doc.1.24.","Q33_Inst.Dept.Support...Inter.Departmental.Cooperation",1,14,7.14285714285714
"37","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...Differences.of.opinion",3,15,20
"38","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...Differences.of.opinion",2,15,13.3333333333333
"39","Q33_scored_sub_Master.1.24.","Q33_Faculty...Differences.of.opinion",6,15,40
"40","Q33_scored_sub_Doc.1.24.","Q33_Faculty...Differences.of.opinion",4,15,26.6666666666667
"41","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...Lack.Basic.Computing.Knowledge",1,17,5.88235294117647
"42","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...Lack.Basic.Computing.Knowledge",8,17,47.0588235294118
"43","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...Lack.Basic.Computing.Knowledge",5,17,29.4117647058824
"44","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...Lack.Basic.Computing.Knowledge",3,17,17.6470588235294
"45","Q33_scored_sub_Assoc.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",2,22,9.09090909090909
"46","Q33_scored_sub_Bacca.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",2,22,9.09090909090909
"47","Q33_scored_sub_Master.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",3,22,13.6363636363636
"48","Q33_scored_sub_Doc.1.24.","Q33_Student.Isses...Multitude.of.varying.student.backgrounds",15,22,68.1818181818182
"49","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Funding..general.",5,28,17.8571428571429
"50","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Funding..general.",8,28,28.5714285714286
"51","Q33_scored_sub_Master.1.24.","Q33_Resources...Funding..general.",11,28,39.2857142857143
"52","Q33_scored_sub_Doc.1.24.","Q33_Resources...Funding..general.",4,28,14.2857142857143
"53","Q33_scored_sub_Assoc.1.24.","Q33_Student.issues...Intimidated.by.topic",2,29,6.89655172413793
"54","Q33_scored_sub_Bacca.1.24.","Q33_Student.issues...Intimidated.by.topic",3,29,10.3448275862069
"55","Q33_scored_sub_Master.1.24.","Q33_Student.issues...Intimidated.by.topic",8,29,27.5862068965517
"56","Q33_scored_sub_Doc.1.24.","Q33_Student.issues...Intimidated.by.topic",16,29,55.1724137931034
"57","Q33_scored_sub_Assoc.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",11,34,32.3529411764706
"58","Q33_scored_sub_Bacca.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",8,34,23.5294117647059
"59","Q33_scored_sub_Master.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",8,34,23.5294117647059
"60","Q33_scored_sub_Doc.1.24.","Q33_Curriculum...Access.to.developed.Bioinf.Lesson.Plans.Bioinf.Curric",7,34,20.5882352941176
"61","Q33_scored_sub_Assoc.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",8,45,17.7777777777778
"62","Q33_scored_sub_Bacca.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",14,45,31.1111111111111
"63","Q33_scored_sub_Master.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",7,45,15.5555555555556
"64","Q33_scored_sub_Doc.1.24.","Q33_Facilities...Computer.Labs.limited.or.not.available",16,45,35.5555555555556
"65","Q33_scored_sub_Assoc.1.24.","Q33_Resources...Acces.to.Approp..Software",13,45,28.8888888888889
"66","Q33_scored_sub_Bacca.1.24.","Q33_Resources...Acces.to.Approp..Software",9,45,20
"67","Q33_scored_sub_Master.1.24.","Q33_Resources...Acces.to.Approp..Software",10,45,22.2222222222222
"68","Q33_scored_sub_Doc.1.24.","Q33_Resources...Acces.to.Approp..Software",13,45,28.8888888888889
"69","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",6,50,12
"70","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",21,50,42
"71","Q33_scored_sub_Master.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",11,50,22
"72","Q33_scored_sub_Doc.1.24.","Q33_Curric.Issues...How.quickly.the.material.tech.changes",12,50,24
"73","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",9,68,13.2352941176471
"74","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",19,68,27.9411764705882
"75","Q33_scored_sub_Master.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",14,68,20.5882352941176
"76","Q33_scored_sub_Doc.1.24.","Q33_Curric.Isues...To.much.conent.in.Life.Sci.curric",26,68,38.2352941176471
"77","Q33_scored_sub_Assoc.1.24.","Q33_Facutly...Time",15,82,18.2926829268293
"78","Q33_scored_sub_Bacca.1.24.","Q33_Facutly...Time",22,82,26.8292682926829
"79","Q33_scored_sub_Master.1.24.","Q33_Facutly...Time",12,82,14.6341463414634
"80","Q33_scored_sub_Doc.1.24.","Q33_Facutly...Time",33,82,40.2439024390244
"81","Q33_scored_sub_Assoc.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",11,83,13.2530120481928
"82","Q33_scored_sub_Bacca.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",17,83,20.4819277108434
"83","Q33_scored_sub_Master.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",20,83,24.0963855421687
"84","Q33_scored_sub_Doc.1.24.","Q33_Curric.Issues...Lack.of.integration.of.maerial",35,83,42.1686746987952
"85","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",13,95,13.6842105263158
"86","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",19,95,20
"87","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",32,95,33.6842105263158
"88","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...No.interest.in.Bioinf",31,95,32.6315789473684
"89","Q33_scored_sub_Assoc.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",24,186,12.9032258064516
"90","Q33_scored_sub_Bacca.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",37,186,19.8924731182796
"91","Q33_scored_sub_Master.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",38,186,20.4301075268817
"92","Q33_scored_sub_Doc.1.24.","Q33_Student.Issues...Lack.Approp.Background.Knowledge.Skills",87,186,46.7741935483871
"93","Q33_scored_sub_Assoc.1.24.","Q33_Faculty...No.Expertise.Training",57,272,20.9558823529412
"94","Q33_scored_sub_Bacca.1.24.","Q33_Faculty...No.Expertise.Training",85,272,31.25
"95","Q33_scored_sub_Master.1.24.","Q33_Faculty...No.Expertise.Training",62,272,22.7941176470588
"96","Q33_scored_sub_Doc.1.24.","Q33_Faculty...No.Expertise.Training",68,272,25
