"","category_key","variable","value","response_count","Yes_percentage","No_percentage","response_stratafying_cat","percentage_of_n","proportion_error","ymax_y","ymin_y","ymax_n","ymin_n","chi_values"
"1","K1970D1979","Yes",0.428571428571429,35,0.428571428571429,0.571428571428571,51,0.686274509803922,0.127346449298923,0.483148478270967,0.37399437887189,0.644197971027956,0.498659171829187,0.398024719506938
"2","K1980D1989","Yes",0.529850746268657,134,0.529850746268657,0.470149253731343,190,0.705263157894737,0.0648282207479813,0.564200027411244,0.49550146512607,0.500628193336737,0.439670314125949,0.489506005318268
"3","K1990D1999","Yes",0.493723849372385,239,0.493723849372385,0.506276150627615,284,0.841549295774648,0.042469367036296,0.514691988745954,0.472755709998816,0.527777378290342,0.484774922964888,0.84613370276028
"4","K2000D2010","Yes",0.563758389261745,298,0.563758389261745,0.436241610738255,345,0.863768115942029,0.0361973276897521,0.584164936415699,0.543351842107791,0.452032391274053,0.420450830202457,0.0277161444371589
"5","K2010D2016","Yes",0.580152671755725,131,0.580152671755725,0.419847328244275,149,0.879194630872483,0.0523287774843485,0.610511351822981,0.54979399168847,0.441817425661368,0.397877230827182,0.0665385126776228
"6","K1970D1979","No",0.571428571428571,35,0.428571428571429,0.571428571428571,51,0.686274509803922,0.127346449298923,0.483148478270967,0.37399437887189,0.644197971027956,0.498659171829187,0.398024719506938
"7","K1980D1989","No",0.470149253731343,134,0.529850746268657,0.470149253731343,190,0.705263157894737,0.0648282207479813,0.564200027411244,0.49550146512607,0.500628193336737,0.439670314125949,0.489506005318268
"8","K1990D1999","No",0.506276150627615,239,0.493723849372385,0.506276150627615,284,0.841549295774648,0.042469367036296,0.514691988745954,0.472755709998816,0.527777378290342,0.484774922964888,0.84613370276028
"9","K2000D2010","No",0.436241610738255,298,0.563758389261745,0.436241610738255,345,0.863768115942029,0.0361973276897521,0.584164936415699,0.543351842107791,0.452032391274053,0.420450830202457,0.0277161444371589
"10","K2010D2016","No",0.419847328244275,131,0.580152671755725,0.419847328244275,149,0.879194630872483,0.0523287774843485,0.610511351822981,0.54979399168847,0.441817425661368,0.397877230827182,0.0665385126776228
