Var1,Var2,value,summed_score,percentage,responses,proportion,nice_names,positive_scored_response,null_scored_response,prop_test_chi_pvalue,proportion_error,ymax,ymin
1980-1989,Facilities Issues: Access to computer labs,23.0,152.0,15.131578947368421,190.0,0.12105263157894737,K1980D1989,23.0,167.0,0.19069497510363703,0.0463809717141227,0.12666717026013063,0.11543809289776409
1990-1999,Facilities Issues: Access to computer labs,40.0,152.0,26.31578947368421,284.0,0.14084507042253522,K1990D1999,40.0,244.0,0.19069497510363703,0.040457169013445794,0.1465432632413304,0.13514687760374003
2000-2009,Facilities Issues: Access to computer labs,60.0,152.0,39.473684210526315,345.0,0.17391304347826086,K2000D2009,60.0,285.0,0.19069497510363703,0.03999608692763295,0.18086888468306658,0.16695720227345515
2010-2016,Facilities Issues: Access to computer labs,29.0,152.0,19.078947368421055,149.0,0.19463087248322147,K2010D2016,29.0,120.0,0.19069497510363703,0.06357089274131754,0.2070037308020014,0.18225801416444154
1980-1989,Resource Issues: Access to operating systems,6.0,50.0,12.0,190.0,0.031578947368421054,K1980D1989,6.0,184.0,0.12899362068228376,0.024865787980162046,0.032364182778320906,0.0307937119585212
1990-1999,Resource Issues: Access to operating systems,11.0,50.0,22.0,284.0,0.03873239436619718,K1990D1999,11.0,273.0,0.12899362068228376,0.02244131217060754,0.03960160011928409,0.03786318861311027
2000-2009,Resource Issues: Access to operating systems,21.0,50.0,42.0,345.0,0.06086956521739131,K2000D2009,21.0,324.0,0.12899362068228376,0.025229090862890956,0.06240524900904554,0.059333881425737076
2010-2016,Resource Issues: Access to operating systems,12.0,50.0,24.0,149.0,0.08053691275167785,K2010D2016,12.0,137.0,0.12899362068228376,0.043693777720756305,0.0840558747157656,0.07701795078759009
1980-1989,Resource Issues: Access to high-performance computing,9.0,60.0,15.0,190.0,0.04736842105263158,K1980D1989,9.0,181.0,0.03928956146901507,0.03020495769160397,0.0487991822064444,0.04593765989881876
1990-1999,Resource Issues: Access to high-performance computing,15.0,60.0,25.0,284.0,0.0528169014084507,K1990D1999,15.0,269.0,0.03928956146901507,0.026013114375982686,0.05419083350577373,0.05144296931112768
2000-2009,Resource Issues: Access to high-performance computing,19.0,60.0,31.666666666666664,345.0,0.05507246376811594,K2000D2009,19.0,326.0,0.03928956146901507,0.024071605034988227,0.05639814636424573,0.053746781171986155
2010-2016,Resource Issues: Access to high-performance computing,17.0,60.0,28.333333333333332,149.0,0.11409395973154363,K2010D2016,17.0,132.0,0.03928956146901507,0.05104816257068702,0.11991824673625288,0.10826967272683437
1980-1989,Institutional Issues: Access to IT support,19.0,119.0,15.966386554621847,190.0,0.1,K1980D1989,19.0,171.0,0.0724431064812262,0.04265721965564385,0.10426572196556438,0.09573427803443563
1990-1999,Institutional Issues: Access to IT support,26.0,119.0,21.84873949579832,284.0,0.09154929577464789,K1990D1999,26.0,258.0,0.0724431064812262,0.033540312750411916,0.09461988778700954,0.08847870376228624
2000-2009,Institutional Issues: Access to IT support,53.0,119.0,44.537815126050425,345.0,0.1536231884057971,K2000D2009,53.0,292.0,0.0724431064812262,0.03804948727500675,0.15946847195818944,0.14777790485340478
2010-2016,Institutional Issues: Access to IT support,21.0,119.0,17.647058823529413,149.0,0.14093959731543623,K2010D2016,21.0,128.0,0.0724431064812262,0.05587059810570574,0.148813976914227,0.13306521771664548
